epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,267.443,0.96391,1.96299,0.81712,0.41232,0.34215,0.35664,0.25615,1.01471,1.73065,0.80373,0.000396265,0.000396265,0.000396265
43,273.151,0.94907,1.88314,0.8213,0.37979,0.38709,0.35935,0.26247,1.02208,1.72928,0.80203,0.000389661,0.000389661,0.000389661
44,278.889,0.97455,1.93556,0.82699,0.35394,0.3836,0.39193,0.27315,1.07964,1.67745,0.80147,0.000383058,0.000383058,0.000383058
45,284.714,0.91515,1.89782,0.82042,0.31872,0.39878,0.40308,0.28767,1.04017,1.66908,0.80093,0.000376455,0.000376455,0.000376455
46,290.578,0.91927,1.86237,0.82071,0.4062,0.32796,0.4135,0.28839,1.03735,1.65115,0.80211,0.000369851,0.000369851,0.000369851
47,296.501,0.91455,1.83436,0.82923,0.24121,0.44611,0.38245,0.26898,1.12161,1.69456,0.80484,0.000363248,0.000363248,0.000363248
48,302.251,1.04016,1.94168,0.83202,0.21475,0.48451,0.3541,0.25268,1.03945,1.72975,0.8023,0.000356645,0.000356645,0.000356645
49,308.252,0.92121,1.822,0.81258,0.23678,0.50839,0.36595,0.26261,0.98997,1.7626,0.7992,0.000350042,0.000350042,0.000350042
50,313.989,0.9301,1.84828,0.80775,0.24104,0.42101,0.37762,0.27146,0.99765,1.74171,0.79995,0.000343438,0.000343438,0.000343438
51,319.752,0.93037,1.81001,0.81512,0.22337,0.44656,0.35689,0.25611,1.01615,1.76052,0.79938,0.000336835,0.000336835,0.000336835
52,325.802,0.99314,1.86244,0.81456,0.23136,0.37822,0.33508,0.24627,0.9815,1.75248,0.79943,0.000330232,0.000330232,0.000330232
53,331.862,0.8687,1.75372,0.8198,0.43363,0.36445,0.39335,0.28065,1.04417,1.66968,0.80313,0.000323628,0.000323628,0.000323628
54,337.994,0.92451,1.77047,0.81986,0.43596,0.38585,0.39475,0.27799,1.05361,1.70763,0.80427,0.000317025,0.000317025,0.000317025
55,344.044,0.86244,1.79726,0.80473,0.22211,0.49208,0.38576,0.2795,0.96987,1.70381,0.79699,0.000310422,0.000310422,0.000310422
56,350.027,0.90167,1.72977,0.81067,0.23421,0.47642,0.36834,0.26426,1.02735,1.75541,0.7996,0.000303818,0.000303818,0.000303818
57,356.561,0.8917,1.70001,0.82167,0.24338,0.48024,0.40854,0.27322,1.18918,1.66152,0.80562,0.000297215,0.000297215,0.000297215
58,362.348,0.94819,1.63886,0.82765,0.39541,0.38288,0.41945,0.28812,1.13293,1.63052,0.80068,0.000290612,0.000290612,0.000290612
59,368.226,0.92356,1.63776,0.81888,0.24983,0.56958,0.41615,0.30633,0.9799,1.60467,0.79771,0.000284009,0.000284009,0.000284009
60,374.159,0.96771,1.69378,0.81456,0.33262,0.37877,0.41053,0.29838,0.98509,1.7101,0.79914,0.000277405,0.000277405,0.000277405
61,380.084,0.9142,1.68327,0.80799,0.31966,0.42061,0.41256,0.30556,0.98158,1.69551,0.79897,0.000270802,0.000270802,0.000270802
62,385.901,0.90731,1.6208,0.81193,0.33067,0.41734,0.42184,0.29536,1.06547,1.65755,0.80069,0.000264199,0.000264199,0.000264199
63,391.997,0.88196,1.62165,0.82102,0.30408,0.40789,0.41469,0.29788,1.04511,1.58582,0.80095,0.000257595,0.000257595,0.000257595
64,398.268,0.88107,1.63019,0.79385,0.46147,0.37247,0.40541,0.29532,1.00592,1.61681,0.80475,0.000250992,0.000250992,0.000250992
65,404.861,0.92576,1.60791,0.82595,0.46122,0.3441,0.42353,0.30955,1.01347,1.67841,0.80885,0.000244389,0.000244389,0.000244389
66,411.105,0.87912,1.54401,0.81521,0.32134,0.39648,0.43137,0.32012,1.00205,1.71034,0.8041,0.000237785,0.000237785,0.000237785
67,417,0.89473,1.60226,0.81113,0.29528,0.49301,0.41674,0.30913,0.99139,1.74809,0.80132,0.000231182,0.000231182,0.000231182
68,422.792,0.82553,1.47789,0.79498,0.41288,0.37415,0.47669,0.35251,0.98508,1.56986,0.80122,0.000224579,0.000224579,0.000224579
69,428.65,0.87623,1.56248,0.81825,0.50058,0.40852,0.50159,0.36791,0.98003,1.50669,0.8018,0.000217976,0.000217976,0.000217976
70,434.536,0.87302,1.53648,0.81308,0.41715,0.39695,0.48605,0.35656,0.98806,1.52311,0.79882,0.000211372,0.000211372,0.000211372
